id,operator,group,ref_class,map_class,ref_code,map_code
615,gisele,7,Fp,Fp,11,11
365,Cherubins,4,Fp,Fs,11,12
99,karel88,1,Fp,Fp,11,11
741,leslie,8,Fp,Fp,11,11
435,lillteddy,5,Fp,Fm,11,13
322,Cherubins,4,Fp,Fp,11,11
344,Cherubins,4,Fp,Fm,11,13
377,Cherubins,4,Fp,Fp,11,11
605,lillteddy,6,Fp,Fm,11,13
129,josney,2,Fp,Fp,11,11
609,gisele,7,Fp,Fm,11,13
174,josney,2,Fp,Fm,11,13
289,karel88,3,Fp,Fm,11,13
68,karel88,1,Fp,Fp,11,11
123,josney,2,Fp,Fm,11,13
334,Cherubins,4,Fp,Fp,11,11
233,Precieux,3,Fp,Fp,11,11
397,Cherubins,4,Fp,Fm,11,13
244,Precieux,3,Fp,Fs,11,12
103,josney,2,Fp,Fp,11,11
669,gisele,7,Fp,Fp,11,11
180,josney,2,Fp,Fm,11,13
39,karel88,1,Fp,Fm,11,13
221,Precieux,3,Fp,Fm,11,13
41,karel88,1,Fp,Fm,11,13
840,jeannette_kenovh,9,Fp,Fm,11,13
556,carine,6,Fp,Fp,11,11
618,gisele,7,Fp,Fp,11,11
272,karel88,3,Fp,Fp,11,11
460,lillteddy,5,Fp,Fm,11,13
21,karel88,1,Fp,Fm,11,13
94,karel88,1,Fp,Fm,11,13
179,josney,2,Fp,Fm,11,13
505,lillteddy,5,Fp,Fm,11,13
135,josney,2,Fp,Fs,11,12
4,karel88,1,Fp,Fm,11,13
733,leslie,8,Fp,Fp,11,11
654,gisele,7,Fp,Fp,11,11
399,Cherubins,4,Fp,Fp,11,11
217,Precieux,3,Fp,Fp,11,11
202,josney,2,Fp,Fm,11,13
555,carine,6,Fp,Fm,11,13
601,lillteddy,6,Fp,Fm,11,13
245,Precieux,3,Fp,Fm,11,13
101,karel88,1,Fp,Fp,11,11
246,Precieux,3,Fp,Fm,11,13
299,karel88,3,Fp,Fm,11,13
367,Cherubins,4,Fp,Fp,11,11
